,Prague,Olomouc,Brno,Ostrava,Plzeň,Liberec,České Budějovice,Hradec Králové,Ústí nad Labem,Pardubice,Zlín,Havířov,Kladno,Most,Opava,Frýdek-Místek,Jihlava,Karviná,Teplice,Chomutov,Karlovy Vary,Jablonec nad Nisou,Mladá Boleslav,Prostějov,Přerov,Česká Lípa,Třebíč,Tábor,Znojmo,Kolín,Příbram,Písek,Kroměříž,Orlová,Líšeň,Břevnov,Vsetín,Šumperk,Uherské Hradiště,Bystrc,Český Těšín,Litoměřice,Litvínov,Nový Jičín,Chrudim,Krnov,Sokolov,Strakonice,Valašské Meziříčí,Kopřivnice,Kutná Hora,Žďár nad Sázavou,Bohumín,Blansko,Beroun,Náchod,Mělník,Brandýs nad Labem-Stará Boleslav,Jirkov,Žatec,Kralupy nad Vltavou,Louny,Otrokovice,Bílina,Svitavy,Jičín,Říčany,Neratovice,Slaný,Bruntál,Rakovník,Dvůr Králové nad Labem,Varnsdorf,Nymburk,Poděbrady,Turnov,Rokycany,Hlučín,Chodov,Český Krumlov
Prague,0.0,2.8308333333333335,2.0541666666666667,3.553611111111111,1.1333333333333333,1.2075,1.7291666666666667,1.3027777777777778,0.9616666666666667,1.3883333333333334,2.951388888888889,3.6455555555555557,0.6602777777777777,1.2069444444444444,3.6372222222222224,3.5172222222222222,1.3627777777777779,3.957222222222222,1.0252777777777777,1.1869444444444444,1.5952777777777778,1.1808333333333334,0.8130555555555555,2.515277777777778,2.7408333333333332,1.305,1.816111111111111,1.2627777777777778,2.533333333333333,0.9769444444444444,0.8247222222222222,1.5352777777777777,2.5316666666666667,3.7325,2.1633333333333336,0.19416666666666665,3.500277777777778,2.8608333333333333,2.92,2.0069444444444446,3.756388888888889,0.8397222222222223,1.3244444444444445,3.246111111111111,1.4605555555555556,3.923611111111111,1.8141666666666667,1.6044444444444443,3.4780555555555557,3.4294444444444445,1.1377777777777778,1.7325,3.5741666666666667,2.4205555555555556,0.6108333333333333,1.7427777777777778,0.6813888888888889,0.49777777777777776,1.2838888888888889,1.1377777777777778,0.5372222222222223,0.9188888888888889,2.6733333333333333,1.0383333333333333,2.09,1.1925,0.49472222222222223,0.4875,0.6002777777777778,3.5316666666666667,0.8813888888888889,1.5672222222222223,1.7869444444444444,0.8644444444444445,0.7625,1.0030555555555556,0.9491666666666667,3.5997222222222223,1.7391666666666667,2.1766666666666667
Olomouc,2.8513888888888888,0.0,0.915,1.0941666666666667,3.4058333333333333,3.1505555555555556,2.882222222222222,1.883888888888889,3.3333333333333335,1.8475,1.075,1.186388888888889,3.0091666666666668,3.6019444444444444,1.1777777777777778,1.0577777777777777,1.6269444444444445,1.4977777777777779,3.3969444444444443,3.6794444444444445,3.9269444444444446,3.1238888888888887,2.8091666666666666,0.32083333333333336,0.4677777777777778,3.4047222222222224,1.586111111111111,2.493611111111111,1.5483333333333333,2.263333333333333,3.0125,3.12,0.7958333333333333,1.2730555555555556,0.8347222222222223,2.685277777777778,1.2402777777777778,0.7711111111111111,1.1352777777777778,1.0797222222222222,1.2969444444444445,3.211388888888889,3.6744444444444446,0.7866666666666666,1.806111111111111,1.3925,4.145833333333333,3.438888888888889,0.9247222222222222,0.9702777777777778,2.4583333333333335,1.74,1.1147222222222222,1.0675,2.8833333333333333,2.3658333333333332,3.0555555555555554,2.560277777777778,3.751388888888889,3.6302777777777777,2.908888888888889,3.411111111111111,0.7969444444444445,3.41,0.8497222222222223,2.4980555555555557,2.425,2.8380555555555556,2.948888888888889,0.9822222222222222,3.2130555555555556,2.220833333333333,3.8027777777777776,2.321388888888889,2.198611111111111,2.8530555555555557,3.2216666666666667,1.1402777777777777,4.071111111111111,3.3297222222222222
Brno,1.9941666666666666,0.89,0.0,1.7375,2.7116666666666664,2.8344444444444443,2.1880555555555556,2.2380555555555555,2.776388888888889,2.0441666666666665,1.1352777777777778,1.8294444444444444,2.315,2.861388888888889,1.8211111111111111,1.701111111111111,0.9327777777777778,2.141111111111111,2.84,2.841666666666667,3.2330555555555556,2.807777777777778,2.44,0.6991666666666667,0.9247222222222222,3.0355555555555553,0.8919444444444444,1.7994444444444444,0.8486111111111111,1.9594444444444445,2.3183333333333334,2.4258333333333333,0.7155555555555555,1.916388888888889,0.24833333333333332,1.991111111111111,1.6841666666666666,1.5308333333333333,1.103888888888889,0.31305555555555553,1.9402777777777778,2.6544444444444446,2.9791666666666665,1.43,1.8355555555555556,2.245833333333333,3.4516666666666667,2.7447222222222223,1.6619444444444444,1.613611111111111,1.8352777777777778,1.0044444444444445,1.7580555555555555,0.495,2.1891666666666665,2.7505555555555556,2.496111111111111,2.124722222222222,2.9383333333333335,2.792222222222222,2.3519444444444444,2.5733333333333333,0.8572222222222222,2.8272222222222223,1.1716666666666666,2.7597222222222224,1.7308333333333332,2.3022222222222224,2.254722222222222,1.8355555555555556,2.5188888888888887,2.5747222222222224,3.5175,2.281388888888889,2.158611111111111,2.63,2.5275,1.783611111111111,3.3769444444444443,2.6355555555555554
Ostrava,3.520277777777778,1.0483333333333333,1.7469444444444444,0.0,4.2375,4.055,3.714166666666667,2.7883333333333336,4.237777777777778,2.7516666666666665,1.4972222222222222,0.2975,3.8408333333333333,4.506111111111111,0.6236111111111111,0.34444444444444444,2.4588888888888887,0.5747222222222222,4.301388888888889,4.3675,4.7588888888888885,4.028333333333333,3.713611111111111,1.1527777777777777,0.89,4.309166666666667,2.4180555555555556,3.3255555555555554,2.3802777777777777,3.167777777777778,3.8444444444444446,3.9519444444444445,1.2180555555555554,0.35,1.6666666666666667,3.5172222222222222,1.226388888888889,1.6755555555555555,1.5575,1.9113888888888888,0.5875,4.115833333333334,4.578888888888889,0.5738888888888889,2.7105555555555556,0.9497222222222222,4.977777777777778,4.270555555555555,0.9108333333333334,0.5577777777777778,3.3627777777777776,2.6444444444444444,0.2863888888888889,1.8991666666666667,3.7152777777777777,3.270277777777778,3.96,3.464722222222222,4.464444444444444,4.318333333333333,3.8130555555555556,4.099166666666667,1.2191666666666667,4.314166666666667,1.7538888888888888,3.4025,3.2569444444444446,3.7425,3.7808333333333333,1.1483333333333334,4.044722222222222,3.125277777777778,4.354444444444445,3.2258333333333336,3.1030555555555557,3.7575,4.053333333333334,0.27694444444444444,4.902777777777778,4.161388888888889
Plzeň,1.1422222222222222,3.395,2.7430555555555554,4.242222222222222,0.0,2.1261111111111113,1.9822222222222223,2.153888888888889,1.8477777777777777,2.2394444444444446,3.64,4.3341666666666665,1.1647222222222222,1.6808333333333334,4.325833333333334,4.2058333333333335,2.051388888888889,4.645833333333333,2.031388888888889,1.6158333333333332,1.2066666666666668,2.0994444444444444,1.7316666666666667,3.203888888888889,3.4294444444444445,2.1891666666666665,2.504722222222222,1.943888888888889,3.2219444444444445,1.8283333333333334,1.0497222222222222,1.3630555555555555,3.2202777777777776,4.421111111111111,2.852222222222222,0.9636111111111111,4.188888888888889,3.7119444444444443,3.608611111111111,2.6955555555555555,4.445,1.7258333333333333,1.9208333333333334,3.9347222222222222,2.3116666666666665,4.7747222222222225,1.2916666666666667,1.2825,4.166944444444445,4.118333333333333,2.0305555555555554,2.421388888888889,4.262777777777778,3.109166666666667,0.72,2.593888888888889,1.5655555555555556,1.416388888888889,1.7127777777777777,1.3141666666666667,1.2597222222222222,1.4233333333333333,3.3619444444444446,1.8488888888888888,2.9411111111111112,2.111111111111111,1.176111111111111,1.4691666666666667,1.1047222222222222,4.382777777777778,1.1375,2.4183333333333334,2.671111111111111,1.7155555555555555,1.613888888888889,1.9216666666666666,0.30944444444444447,4.288333333333333,1.3272222222222223,2.3202777777777777
Liberec,1.2486111111111111,3.202777777777778,2.9075,4.104722222222223,2.118888888888889,0.0,2.582222222222222,1.5480555555555555,1.5408333333333333,1.7602777777777778,4.088888888888889,4.196666666666666,1.731111111111111,2.0516666666666667,4.1883333333333335,4.068333333333333,2.2158333333333333,4.508333333333334,1.7730555555555556,2.0733333333333333,2.6572222222222224,0.2961111111111111,0.6044444444444445,3.352777777777778,3.4816666666666665,0.7966666666666666,2.6691666666666665,2.1158333333333332,3.386388888888889,1.3744444444444444,1.8158333333333334,2.526388888888889,3.3847222222222224,4.283611111111111,3.0166666666666666,1.2561111111111112,4.2508333333333335,3.2327777777777778,3.7730555555555556,2.86,4.3075,1.3847222222222222,2.1344444444444446,3.797222222222222,1.8325,4.295555555555556,2.8758333333333335,2.5955555555555554,3.935277777777778,3.9808333333333334,1.5352777777777777,2.575833333333333,4.125277777777778,3.2625,1.5966666666666667,1.9516666666666667,1.2175,0.8372222222222222,2.201111111111111,2.0241666666666664,1.3027777777777778,1.805,3.8108333333333335,1.8597222222222223,2.4619444444444443,0.7811111111111111,1.3202777777777779,1.1969444444444444,1.5041666666666667,3.903611111111111,1.9430555555555555,1.4605555555555556,0.8,1.0116666666666667,1.1130555555555555,0.37083333333333335,1.9347222222222222,4.150833333333333,2.801111111111111,3.0297222222222224
České Budějovice,1.7316666666666667,2.8897222222222223,2.2377777777777776,3.737222222222222,1.998888888888889,2.5719444444444446,0.0,2.756388888888889,2.513888888888889,2.6119444444444446,3.135,3.8291666666666666,2.0525,2.598888888888889,3.8208333333333333,3.700833333333333,1.5463888888888888,4.140833333333333,2.5775,2.5791666666666666,3.117777777777778,2.5452777777777778,2.1775,2.698888888888889,2.9244444444444446,2.7730555555555556,1.9180555555555556,0.7383333333333333,2.2333333333333334,2.0769444444444445,1.4994444444444444,0.7544444444444445,2.7152777777777777,3.9161111111111113,2.3472222222222223,1.728611111111111,3.6838888888888888,3.711388888888889,3.1036111111111113,2.1905555555555556,3.94,2.3919444444444444,2.716388888888889,3.4297222222222223,2.403611111111111,4.245555555555556,3.0838888888888887,0.9,3.6616666666666666,3.6133333333333333,2.02,1.916111111111111,3.7577777777777777,2.6041666666666665,1.9266666666666667,3.196388888888889,2.233611111111111,1.8622222222222222,2.6758333333333333,2.5297222222222224,2.0894444444444447,2.3108333333333335,2.8569444444444443,2.564722222222222,2.7994444444444446,2.5569444444444445,1.4683333333333333,2.039722222222222,1.9922222222222221,3.835277777777778,2.256388888888889,3.0211111111111113,3.255,2.2519444444444443,2.0597222222222222,2.3675,1.9366666666666668,3.783333333333333,3.2383333333333333,0.5052777777777778
Hradec Králové,1.32,1.8888888888888888,2.234166666666667,2.7905555555555557,2.1327777777777777,1.4830555555555556,2.736111111111111,0.0,1.8019444444444443,0.4363888888888889,2.775,2.8825,1.7358333333333333,2.0705555555555555,2.8741666666666665,2.754166666666667,1.585,3.194166666666667,1.8655555555555556,2.1480555555555556,2.653888888888889,1.456388888888889,1.2897222222222222,2.038611111111111,2.167777777777778,1.8925,1.9913888888888889,2.227777777777778,2.7552777777777777,0.7319444444444444,1.8297222222222222,2.54,2.495833333333333,2.9694444444444446,2.335,1.3305555555555555,2.9366666666666665,1.8697222222222223,2.835,2.238611111111111,2.993333333333333,1.68,2.1430555555555557,2.4830555555555556,0.5083333333333333,2.9816666666666665,2.872777777777778,2.6094444444444442,2.621111111111111,2.6666666666666665,0.9269444444444445,1.2516666666666667,2.811111111111111,1.9483333333333333,1.6102777777777777,0.7311111111111112,1.5241666666666667,1.028888888888889,2.22,2.098888888888889,1.3775,1.8797222222222223,2.4969444444444444,1.878611111111111,1.1477777777777778,0.8305555555555556,1.325,1.3066666666666666,1.5788888888888888,2.5894444444444447,1.94,0.5555555555555556,2.1352777777777776,0.79,0.6672222222222223,1.1855555555555555,1.948611111111111,2.8366666666666664,2.7977777777777777,3.183333333333333
Ústí nad Labem,0.9838888888888889,3.370277777777778,2.8516666666666666,4.271944444444444,1.853888888888889,1.5563888888888888,2.526666666666667,1.8419444444444444,0.0,1.9277777777777778,3.748611111111111,4.364166666666667,1.0686111111111112,0.6608333333333334,4.355555555555555,4.235555555555556,2.160277777777778,4.6755555555555555,0.3227777777777778,0.8777777777777778,1.6194444444444445,1.711111111111111,1.3116666666666668,3.3125,3.6491666666666664,0.8766666666666667,2.6133333333333333,2.06,3.3305555555555557,1.5163888888888888,1.6819444444444445,2.3925,3.328888888888889,4.450833333333334,2.9608333333333334,1.0016666666666667,4.2975,3.4,3.7172222222222224,2.8041666666666667,4.474722222222222,0.4538888888888889,0.6452777777777777,3.9644444444444447,1.9997222222222222,4.463055555555556,1.8247222222222221,2.4616666666666664,4.1025,4.148055555555556,1.6772222222222222,2.53,4.2925,3.2177777777777776,1.3316666666666668,2.2819444444444446,0.7727777777777778,1.035,0.8102777777777778,0.9802777777777778,0.7336111111111111,0.7344444444444445,3.4705555555555554,0.46,2.629166666666667,1.8091666666666666,1.2927777777777778,0.9083333333333333,0.8230555555555555,4.071111111111111,1.2844444444444445,2.1066666666666665,1.23,1.403888888888889,1.3019444444444443,1.5708333333333333,1.67,4.3180555555555555,1.7497222222222222,2.973888888888889
Pardubice,1.4008333333333334,1.8911111111111112,2.068888888888889,2.792777777777778,2.2133333333333334,1.6997222222222221,2.5844444444444443,0.42583333333333334,1.8825,0.0,2.777222222222222,2.8847222222222224,1.8166666666666667,2.151111111111111,2.876388888888889,2.756388888888889,1.3677777777777778,3.196388888888889,1.9461111111111111,2.2286111111111113,2.734722222222222,1.6733333333333333,1.3583333333333334,2.0408333333333335,2.17,1.9538888888888888,1.7744444444444445,2.251388888888889,2.5383333333333336,0.8125,1.9102777777777777,2.620833333333333,2.4980555555555557,2.9716666666666667,2.1780555555555554,1.4113888888888888,2.938888888888889,1.9208333333333334,2.837222222222222,2.0216666666666665,2.9955555555555557,1.7605555555555557,2.223888888888889,2.4852777777777777,0.29138888888888886,2.983888888888889,2.953333333333333,2.69,2.6233333333333335,2.668888888888889,0.94,1.0347222222222223,2.8133333333333335,1.9505555555555556,1.691111111111111,0.9455555555555556,1.605,1.1094444444444445,2.3005555555555555,2.1794444444444445,1.4580555555555557,1.9605555555555556,2.4991666666666665,1.9591666666666667,1.15,1.0472222222222223,1.4055555555555554,1.3875,1.6594444444444445,2.591666666666667,2.0205555555555557,0.77,2.3519444444444444,0.8708333333333333,0.7477777777777778,1.4025,2.029166666666667,2.838888888888889,2.8786111111111112,3.0316666666666667
